id,topic,question,relevance,faithfulness,completeness,clarity,kw_hit,latency_ms,answer,comment
emp_03,Працевлаштування,Що таке Kurzarbeitergeld і чи можу я на нього претендувати?,5,5,5,5,0.2,7651,"**Kurzarbeitergeld** (допомога по скороченню робочого часу) — це фінансова підтримка, яку надає уряд Німеччини працівникам, чиї години роботи були скорочені через економічні труднощі, наприклад, під час кризи або пандемії. Ця допомога дозволяє зберегти робочі місця, оскільки підприємства можуть зменшити робочий час своїх працівників, не звільняючи їх.

### Хто може претендувати на Kurzarbeitergeld?

1. **Працівники, які працюють на повний або частковий робочий день**.
2. **Працівники, які мають трудовий договір**.
3. **Працівники, чий робочий час був скорочений** (зазвичай на 10% або більше).

### Чи можете ви претендувати на Kurzarbeitergeld?

Якщо ви маєте статус **temporary protection** і працюєте в Німеччині, ви можете претендувати на Kurzarbeitergeld, якщо:

- У вас є трудовий договір.
- Ваш роботодавець офіційно скоротив ваші години роботи.
- Ви відповідаєте іншим вимогам, встановленим німецьким законодавством.

### Як подати заявку?

1. **Зверніться до вашого роботодавця**: Він повинен подати заявку на Kurzarbeitergeld до Федерального агентства з праці (Bundesagentur für Arbeit).
2. **Зберіть необхідні документи**: Це можуть бути ваш трудовий договір, підтвердження скорочення робочого часу та інші документи.
3. **Слідкуйте за статусом вашої заявки**: Після подачі заявки ви можете отримати інформацію про статус вашої заявки від вашого роботодавця або безпосередньо від агентства.

Якщо у вас виникнуть додаткові питання або потрібна допомога в процесі, рекомендується звернутися до юриста або консультаційного центру для біженців.","Відповідь є точною, повною та зрозумілою."
hlth_01,Медицина,Як оформити медичне страхування (GKV) в Німеччині?,5,5,5,5,0.83,7589,"Оформлення медичного страхування (Gesetzliche Krankenversicherung, GKV) в Німеччині є важливим кроком для отримання медичних послуг. Ось покрокова інструкція, як це зробити:

1. **Вибір страхової компанії**:
   - В Німеччині існує багато державних медичних страхових компаній. Ви можете порівняти їхні умови, послуги та внески. Деякі з популярних компаній: AOK, TK, Barmer, DAK.

2. **Збір необхідних документів**:
   - Паспорт або посвідка на проживання.
   - Доказ вашого статусу (наприклад, документ, що підтверджує тимчасовий захист).
   - Доказ доходу (якщо є).
   - Адреса проживання в Німеччині.

3. **Заповнення анкети**:
   - Зазвичай, вам потрібно буде заповнити анкету для вступу до страхової компанії. Це можна зробити онлайн або особисто в офісі страхової компанії.

4. **Отримання підтвердження**:
   - Після подачі заявки, страхова компанія надасть вам підтвердження про зарахування. Це підтвердження є важливим документом, який вам знадобиться для отримання медичних послуг.

5. **Оплата внесків**:
   - Зазвичай, внески за медичне страхування вираховуються з вашого доходу. Якщо ви не працюєте, вам можуть запропонувати сплатити фіксовану суму.

6. **Отримання картки медичного страхування**:
   - Після оформлення ви отримаєте картку медичного страхування, яка підтверджує ваше страхування. Цю картку потрібно буде показувати лікарям при отриманні медичних послуг.

7. **Консультація**:
   - Якщо у вас виникають питання або труднощі, ви можете звернутися за консультацією до соціальних служб або організацій, які допомагають біженцям.

Не забувайте, що медичне страхування є обов'язковим в Німеччині, тому важливо оформити його якомога швидше.","Відповідь є детальною, чіткою та відповідає на запитання."
hlth_02,Медицина,Які медичні послуги покриває GKV для власника §24?,5,5,5,5,0.0,5777,"Як власник тимчасового захисту (§24) в Німеччині, ви маєте право на медичне страхування через систему законного медичного страхування (GKV). Ось основні медичні послуги, які покриває GKV:

1. **Лікування у лікарні**: покриття стаціонарного лікування, включаючи операції та спеціалізовану медичну допомогу.

2. **Амбулаторне лікування**: консультації у лікарів, спеціалістів, а також лікування в амбулаторних умовах.

3. **Лікарські засоби**: покриття вартості рецептурних ліків, які призначає лікар.

4. **Діагностичні послуги**: лабораторні аналізи, рентгенографія, УЗД та інші діагностичні процедури.

5. **Профілактика**: вакцинації, медичні огляди та профілактичні заходи.

6. **Реабілітація**: послуги з реабілітації після хвороб або травм.

7. **Психологічна допомога**: доступ до психотерапевтів та психологів.

8. **Стоматологічні послуги**: базове стоматологічне лікування, включаючи профілактичні огляди.

Зверніть увагу, що для отримання медичних послуг вам потрібно мати картку медичного страхування (Versichertenkarte), яку ви отримали після реєстрації в GKV. Також важливо знати, що деякі послуги можуть вимагати попереднього погодження або направлення від лікаря.

Якщо у вас є конкретні питання або ситуації, будь ласка, уточніть, і я надам додаткову інформацію.","Відповідь є точною, повною та зрозумілою."
hlth_03,Медицина,Чи покривається стоматологія медичним страхуванням GKV?,5,5,5,5,0.2,6494,"Так, стоматологічні послуги покриваються медичним страхуванням GKV (Gesetzliche Krankenversicherung) в Німеччині, але з певними обмеженнями. Ось основні моменти:

1. **Основні послуги**: GKV покриває базові стоматологічні послуги, такі як профілактичні огляди, лікування карієсу, видалення зубів, а також лікування ясен.

2. **Протезування**: Часткове покриття для протезів та коронок. Зазвичай, страхова компанія покриває лише частину витрат, а решту потрібно буде оплатити самостійно.

3. **Естетичні процедури**: Послуги, які вважаються естетичними (наприклад, відбілювання зубів або встановлення керамічних вінірів), зазвичай не покриваються.

4. **Додаткові послуги**: Якщо ви хочете отримати додаткові послуги або покращене лікування, вам може знадобитися додаткова приватна страховка.

Рекомендується звернутися до вашої страхової компанії для отримання детальної інформації про те, які саме послуги покриваються, а також про можливі доплати.","Відповідь є точною, повною та зрозумілою."
edu_01,Освіта,Як записати дитину до школи в Німеччині?,5,5,5,5,0.2,6543,"Записати дитину до школи в Німеччині, зокрема в Берліні, можна за наступними кроками:

1. **Визначте тип школи**:
   - У Німеччині існує кілька типів шкіл: Grundschule (початкова школа), Hauptschule, Realschule, Gymnasium. Діти зазвичай починають навчання в Grundschule з 6 років.

2. **Зберіть необхідні документи**:
   - Свідоцтво про народження дитини (оригінал та копія).
   - Документ, що підтверджує ваш правовий статус (наприклад, посвідка на тимчасовий захист).
   - Медична довідка про щеплення (якщо є).
   - Попередні навчальні документи (якщо дитина вже навчалася в іншій країні).

3. **Зверніться до місцевого відділу освіти**:
   - У Берліні це можна зробити через Bezirksamt (районний офіс). Вам потрібно буде знайти відповідний відділ освіти (Schulamt) у вашому районі.

4. **Заповніть заявку на зарахування**:
   - У відділі освіти вам нададуть форму для заповнення. Заповніть її та подайте разом з усіма зібраними документами.

5. **Отримайте підтвердження зарахування**:
   - Після обробки вашої заявки ви отримаєте підтвердження про зарахування дитини до школи.

6. **Ознайомлення з школою**:
   - Рекомендується відвідати школу, щоб ознайомитися з її правилами, програмою та можливими додатковими заходами для інтеграції.

7. **Підтримка для дітей з іноземною мовою**:
   - У багатьох школах є програми підтримки для дітей, які не володіють німецькою мовою. Дізнайтеся про ці можливості в школі.

Якщо у вас виникнуть додаткові питання або потрібна допомога, не соромтеся звертатися до місцевих організацій, які підтримують українців у Німеччині.","Відповідь є детальною, структурованою та зрозумілою."
edu_02,Освіта,Чи доступна безкоштовна мовна підготовка (Integrationskurs) для власника §24?,5,5,5,5,0.2,3903,"Так, для осіб, які мають статус тимчасового захисту відповідно до §24 Закону про перебування (Aufenthaltsgesetz), доступна безкоштовна мовна підготовка (Integrationskurs). 

### Основні моменти:

1. **Право на участь**: Власники статусу тимчасового захисту мають право на участь у інтеграційних курсах, які включають вивчення німецької мови та ознайомлення з основами німецького суспільства.

2. **Запис на курс**: Для запису на інтеграційний курс вам потрібно звернутися до місцевого відомства з питань імміграції (Ausländerbehörde) або до організацій, які проводять ці курси.

3. **Фінансування**: Інтеграційні курси для осіб з тимчасовим захистом фінансуються державою, тому участь у них безкоштовна.

4. **Тривалість курсу**: Зазвичай інтеграційні курси тривають від 600 до 900 годин, залежно від рівня знань мови.

Рекомендується звернутися до місцевих організацій або мовних шкіл, які пропонують ці курси, щоб отримати детальну інформацію про розклад та умови участі.","Відповідь є точною, повною та зрозумілою."
edu_03,Освіта,Як визнати українській диплом або кваліфікацію в Німеччині?,5,5,5,5,0.17,10559,"Визнання українських дипломів або кваліфікацій в Німеччині є важливим кроком для інтеграції в німецьке суспільство та ринок праці. Ось покрокова інструкція, як це зробити:

1. **Перевірка необхідності визнання**:
   - Досліджуйте, чи потрібно визнати ваш диплом для роботи в обраній професії. Для деяких професій (наприклад, лікарі, юристи) визнання є обов'язковим.

2. **Збір документів**:
   - Зберіть усі необхідні документи, такі як диплом, додаток до диплому (якщо є), свідоцтва про навчання, а також їх переклади на німецьку мову (переклад має бути виконаний сертифікованим перекладачем).

3. **Звернення до відповідного органу**:
   - Знайдіть відповідний орган для визнання вашої кваліфікації. У Німеччині це може бути:
     - **ZAB (Zentralstelle für ausländisches Bildungswesen)** – для загального визнання дипломів.
     - Спеціалізовані органи для певних професій (наприклад, медичні, технічні).

4. **Подання заявки**:
   - Заповніть заявку на визнання та подайте її разом із зібраними документами. Зазвичай це можна зробити онлайн або особисто.

5. **Оплата зборів**:
   - Будьте готові сплатити адміністративні збори за процес визнання. Розмір зборів може варіюватися в залежності від органу.

6. **Очікування рішення**:
   - Після подання заявки вам потрібно буде чекати на рішення. Термін розгляду може бути різним, зазвичай від кількох тижнів до кількох місяців.

7. **Отримання рішення**:
   - Після отримання рішення ви отримаєте підтвердження визнання або інформацію про те, які додаткові кроки потрібно зробити для отримання визнання.

8. **Подальші дії**:
   - Якщо ваше визнання успішне, ви можете почати шукати роботу у своїй професії. Якщо визнання не було надано, зверніться до органу для отримання рекомендацій щодо подальших дій (можливо, додаткове навчання або складання іспитів).

### Додаткові ресурси:
- **Anabin**: Онлайн-платформа для перевірки визнання іноземних дипломів.
- **Berufsberatung**: Консультаційні служби для пошуку інформації про визнання професій.

Якщо у вас є додаткові питання або потрібна допомога, не соромтеся звертатися!","Відповідь є детальною, структурованою та зрозумілою."
wohn_01,Wohngeld,Що таке Wohngeld і хто може його отримати?,5,5,5,5,0.25,6321,"Wohngeld — це державна допомога в Німеччині, яка призначена для підтримки осіб з низьким доходом у покритті витрат на житло. Ця допомога може бути надана як особам, які орендують житло, так і власникам житла.

### Хто може отримати Wohngeld?

1. **Орендарі**:
   - Особи, які орендують житло і мають низький дохід.
   - Сім'ї з дітьми, які потребують фінансової підтримки.

2. **Власники житла**:
   - Особи, які мають власне житло, але їхній дохід не дозволяє покривати витрати на утримання.

### Умови для отримання Wohngeld:

- **Дохід**: Ваш дохід не повинен перевищувати певний поріг, який залежить від кількості членів сім'ї та регіону проживання.
- **Житлова площа**: Wohngeld надається на основі витрат на житло, які ви несете (орендна плата або витрати на утримання власного житла).
- **Громадянство**: Wohngeld можуть отримувати не лише громадяни Німеччини, але й іноземці, які мають право на проживання в Німеччині (включаючи осіб з тимчасовим захистом).

### Як подати заявку на Wohngeld?

1. **Заповнити анкету**: Зазвичай, потрібно заповнити спеціальну анкету, яку можна отримати в місцевому управлінні (Bürgeramt) або завантажити з їхнього сайту.
2. **Документи**: Підготувати необхідні документи, такі як:
   - Докази доходу (зарплата, соціальні виплати тощо).
   - Договір оренди або документи на власність.
3. **Подати заявку**: Заявку можна подати особисто або надіслати поштою.

### Додаткова інформація

Рекомендується звернутися до місцевого управління (Bürgeramt) або соціальних служб для отримання детальної інформації та консультацій щодо вашої конкретної ситуації.","Відповідь є точною, повною та зрозумілою."
wohn_02,Wohngeld,Чи можна отримувати Wohngeld та Bürgergeld одночасно?,5,5,5,5,0.4,6054,"Так, ви можете отримувати Wohngeld (житлову допомогу) та Bürgergeld (громадянську допомогу) одночасно, але є деякі нюанси, які потрібно враховувати:

1. **Wohngeld** — це допомога для покриття витрат на житло, яка надається людям з низьким доходом. Вона може бути призначена незалежно від інших видів соціальної допомоги.

2. **Bürgergeld** — це соціальна допомога, яка забезпечує мінімальний рівень доходу для осіб, які не можуть забезпечити себе самостійно.

3. Якщо ви отримуєте Bürgergeld, то сума Wohngeld може вплинути на розрахунок вашого Bürgergeld. Це означає, що загальна сума допомоги, яку ви отримуєте, може бути скоригована.

4. Рекомендується звернутися до місцевого відомства соціального забезпечення (Jobcenter) або до органу, що відповідає за Wohngeld у вашому регіоні, щоб отримати точну інформацію про вашу ситуацію та можливі варіанти.

Завжди корисно проконсультуватися з юристом або соціальним працівником, щоб отримати детальну інформацію про ваші права та можливості.","Відповідь є точною, повною та зрозумілою."
gen_01,Загальне,Що таке Anmeldung і як його зробити в Німеччині?,5,5,5,5,0.6,8569,"Anmeldung — це процес реєстрації вашого місця проживання в Німеччині. Це обов'язкова процедура для всіх, хто проживає в країні, включаючи осіб з тимчасовим захистом. Реєстрація необхідна для отримання різних послуг, таких як відкриття банківського рахунку, отримання медичної страховки та оформлення інших документів.

### Як зробити Anmeldung в Німеччині:

1. **Зберіть необхідні документи**:
   - Паспорт або інший документ, що посвідчує особу.
   - Документ, що підтверджує ваше право на проживання (наприклад, посвідчення про тимчасовий захист).
   - Договір оренди або підтвердження проживання (наприклад, лист від власника житла).

2. **Знайдіть місцевий орган реєстрації**:
   - У Баварії це може бути Bürgeramt або Rathaus (мерія) у вашому місті.

3. **Запишіться на прийом**:
   - Багато органів реєстрації вимагають попереднього запису. Це можна зробити через їхній вебсайт або по телефону.

4. **Прийдіть на прийом**:
   - Візьміть з собою всі зібрані документи. Під час візиту вам потрібно буде заповнити форму для реєстрації.

5. **Отримайте підтвердження**:
   - Після успішної реєстрації ви отримаєте підтвердження (Anmeldebestätigung), яке може знадобитися для інших адміністративних процедур.

### Додаткові поради:
- Рекомендується зробити Anmeldung протягом 14 днів після переїзду.
- Якщо ви живете у гуртожитку або тимчасовому житлі, уточніть, як саме оформити реєстрацію у вашому випадку.

Якщо у вас виникнуть додаткові питання або потрібна допомога, не соромтеся звертатися до місцевих організацій, які підтримують українців у Німеччині.","Відповідь є точною, повною та зрозумілою."
