id,topic,question,relevance,faithfulness,completeness,clarity,kw_hit,src_hit,latency_ms,answer,sources,comment
emp_03,Працевлаштування,Що таке Kurzarbeitergeld і чи можу я на нього претендувати?,5,5,5,5,0.4,True,4582,"<b>Kurzarbeitergeld</b> — це фінансова допомога, яка надається працівникам, чиї години роботи були скорочені через економічні труднощі, наприклад, під час кризи або пандемії. Ця допомога дозволяє зберегти робочі місця, оскільки частина втраченої зарплати компенсується державою.

Ви можете претендувати на <b>Kurzarbeitergeld</b>, якщо:

1. Ваш роботодавець офіційно скоротив ваші години роботи.
2. Ви працюєте в компанії, яка є членом фонду соціального страхування.
3. Ви маєте статус, що дозволяє вам працювати в Німеччині, а ваш роботодавець подає заявку на отримання цієї допомоги.

Оскільки ви маєте статус тимчасового захисту відповідно до <code>§ 24</code> AufenthG, ви маєте право на роботу без окремого дозволу, що дозволяє вам працювати в Німеччині. Тому, якщо ваш роботодавець скорочує ваші години, ви можете подати заявку на <b>Kurzarbeitergeld</b>.

Рекомендується звернутися до вашого роботодавця або до місцевого відділу праці (Arbeitsagentur) для отримання детальної інформації про процедуру подачі заявки.","['sgb_xii.txt', 'schulpflicht.txt', 'sgb_ii.txt', 'sgb_v.txt']","Відповідь є точною, повною та зрозумілою."
hlth_01,Медицина,Як оформити медичне страхування (GKV) в Німеччині?,5,5,5,5,0.17,True,14683,"Щоб оформити медичне страхування (GKV) в Німеччині, вам потрібно виконати кілька кроків:

1. **Вибір страхової компанії**: В Німеччині існує багато різних медичних страхових компаній (Krankenkassen), які пропонують різні програми. Ви можете обрати загальну місцеву медичну касу (Allgemeine Ortskrankenkassen) або інші види, такі як Betriebskrankenkassen (страхові компанії для працівників певних підприємств) або Ersatzkassen (замінні каси).

2. **Збір необхідних документів**: Вам знадобляться такі документи:
   - Паспорт або посвідка на проживання.
   - Доказ вашого статусу (наприклад, підтвердження тимчасового захисту).
   - Доказ доходу (якщо є).

3. **Заповнення анкети**: Після вибору страхової компанії вам потрібно буде заповнити анкету для вступу до медичної страховки. Це можна зробити онлайн або в офісі страхової компанії.

4. **Отримання підтвердження**: Після обробки вашої заявки, страхова компанія надасть вам підтвердження про зарахування до медичного страхування. Це підтвердження є важливим документом, який вам знадобиться для доступу до медичних послуг.

5. **Доступ до медичних послуг**: З отриманим підтвердженням ви зможете звертатися до лікарів, отримувати ліки та користуватися іншими медичними послугами, які покриваються вашим медичним страхуванням.

Згідно з <code>§ 24</code> AufenthG, ви маєте право на медичне страхування через GKV, що забезпечує доступ до необхідних медичних послуг без додаткових дозволів.

Якщо у вас виникнуть питання або труднощі, ви можете звернутися до консультаційних центрів для українців, таких як Ukraineberatungszentrum у Берліні, де вам нададуть додаткову допомогу.",['sgb_v.txt'],"Відповідь є точною, повною та зрозумілою."
hlth_02,Медицина,Які медичні послуги покриває GKV для власника §24?,5,5,5,5,0.0,True,8121,"Власники статусу тимчасового захисту відповідно до <code>§ 24</code> AufenthG мають право на медичне страхування через систему законного медичного страхування (GKV). Це означає, що вони можуть отримувати широкий спектр медичних послуг, включаючи:

1. **Лікувальні послуги**: Консультації лікарів, лікування хвороб, проведення необхідних медичних процедур.
2. **Лікарські засоби**: Витрати на ліки, які призначені лікарем, покриваються GKV, але можуть бути певні доплати.
3. **Профілактичні послуги**: Включаючи щеплення та медичні огляди.
4. **Реабілітаційні послуги**: Лікувальна фізкультура, масажі та інші види терапії, які можуть бути частиною лікування.
5. **Госпіталізація**: Лікування в стаціонарі, якщо це необхідно.

Згідно з документами, які ви надали, зокрема <code>§ 39b</code>, застраховані мають право на індивідуальну консультацію та допомогу від медичної страхової компанії щодо послуг хоспісної та паліативної допомоги. Це може включати допомогу у зв'язку з важкими захворюваннями.

Важливо зазначити, що для деяких послуг можуть бути встановлені доплати, наприклад, за лікувальні засоби, що зазначено в <code>§ 61</code>.

Якщо у вас є конкретні питання щодо доступу до певних медичних послуг або лікарів, рекомендується звернутися безпосередньо до вашої медичної страхової компанії (Krankenkasse) для отримання детальної інформації.",['sgb_v.txt'],"Відповідь є точною, повною та зрозумілою."
hlth_03,Медицина,Чи покривається стоматологія медичним страхуванням GKV?,5,5,5,5,0.2,True,4806,"Так, стоматологічні послуги покриваються медичним страхуванням GKV (Gesetzliche Krankenversicherung). 

Згідно з документами, ви маєте право на стоматологічне лікування, яке включає профілактичні заходи, лікування зубів, а також протезування. Наприклад, <b>§ 22a</b> говорить про профілактику зубних захворювань, а <b>§ 55</b> визначає право на фінансові внески для медично необхідного зубопротезування.

Однак, важливо зазначити, що деякі додаткові послуги або вибіркові лікування можуть вимагати додаткових витрат з вашого боку. Якщо ви обираєте лікування, яке не є стандартним, вам можуть знадобитися покрити різницю в ціні.

Рекомендується звернутися до вашої медичної страхової компанії для отримання детальної інформації про конкретні послуги, які покриваються, та можливі витрати.",['sgb_v.txt'],"Відповідь є точною, повною та зрозумілою."
edu_01,Освіта,Як записати дитину до школи в Німеччині?,5,5,5,5,0.2,True,8237,"Записати дитину до школи в Німеччині можна, дотримуючись наступних кроків:

1. **Визначте вік дитини**: Діти в Німеччині підлягають шкільній освіті з моменту досягнення 6 років. Відповідно до <b>§ 24</b> AufenthG, українські діти, які прибули в Німеччину, також підлягають шкільній освіті.

2. **Зареєструйте дитину**: Після прибуття в Німеччину вам потрібно зареєструвати дитину у відповідному органі, що займається освітою. Це може бути місцевий орган, наприклад, <b>Landesamt für Einwanderung</b> у Берліні.

3. **Заповніть необхідні документи**: Вам можуть знадобитися документи, такі як свідоцтво про народження дитини, документ, що підтверджує ваше місце проживання, а також документи, що підтверджують статус тимчасового захисту.

4. **Вибір школи**: Діти можуть бути направлені до <i>Willkommensklassen</i> (класів для новоприбулих), де вони зможуть вивчати німецьку мову. Це особливо важливо для дітей, які не володіють німецькою мовою.

5. **Запис до школи**: Після реєстрації та вибору школи, вам потрібно буде подати заявку на вступ. Зазвичай, школа повинна прийняти дитину протягом 30 днів після реєстрації.

6. **Отримайте підтвердження**: Після успішного запису ви отримаєте підтвердження від школи, яке слід зберігати.

Якщо у вас виникли питання або потрібна допомога, ви можете звернутися до <b>Ukraineberatungszentrum</b> або до місцевого <b>Staatlichen Schulamt</b> для отримання консультацій.","['schulpflicht.txt', 'beschaeftigungsverordnung.txt']","Відповідь є точною, повною та зрозумілою."
edu_02,Освіта,Чи доступна безкоштовна мовна підготовка (Integrationskurs) для власника §24?,5,5,5,5,0.4,True,4059,"Так, для власників статусу тимчасового захисту відповідно до <code>§ 24</code> AufenthG доступна безкоштовна мовна підготовка (Integrationskurs). 

Згідно з документом, якщо ви отримуєте Bürgergeld (соціальну допомогу), то ви можете отримати повну компенсацію витрат на участь у мовному курсі. Вартість участі в Integrationskurs складає 1,95 євро за урок, але для тих, хто отримує Bürgergeld, ці витрати можуть бути покриті повністю.

Для запису на курс потрібно звернутися до BAMF або до акредитованого навчального закладу. Інформацію про курси можна знайти на сайті www.bamf.de/integrationskurse.","['aufenthaltsgesetz.txt', 'mindestlohngesetz.txt', 'bamf_instructions.txt']","Відповідь є точною, повною та зрозумілою."
edu_03,Освіта,Як визнати українській диплом або кваліфікацію в Німеччині?,5,5,5,5,0.0,False,13205,"Визнання українського диплома або кваліфікації в Німеччині є важливим етапом для інтеграції в німецьке суспільство та ринок праці. Ось основні кроки та умови для цього процесу:

1. **Оцінка кваліфікації**: Для визнання вашого диплома вам потрібно звернутися до відповідного органу, який займається оцінкою іноземних кваліфікацій. Це може бути, наприклад, ZAB (Zentralstelle für ausländisches Bildungswesen) — Центральний офіс для іноземної освіти.

2. **Документи для подачі**: Вам знадобляться такі документи:
   - Копія вашого диплома.
   - Додаток до диплома або свідоцтво про освіту.
   - Переклад документів на німецьку мову (за потреби).
   - Інші документи, які можуть підтвердити вашу освіту та кваліфікацію.

3. **Вимоги до мови**: Згідно з <code>§ 24</code> Закону про перебування, для отримання дозволу на роботу у певних професіях може знадобитися підтвердження знання німецької мови.

4. **Індивідуальна оцінка**: Визнання вашого диплома може бути індивідуальним, залежно від вашої спеціальності та вимог до професії в Німеччині. Наприклад, для деяких професій, таких як лікарі або юристи, можуть бути додаткові вимоги.

5. **Навчання в Studienkolleg**: Якщо ваш український диплом не відповідає німецьким стандартам, ви можете отримати можливість навчання в Studienkolleg, що дозволить вам підготуватися до вступу в університет.

6. **Звернення до консультаційних центрів**: У Німеччині існують консультаційні центри, які можуть допомогти вам у процесі визнання диплома. У Північному Рейні-Вестфалії, наприклад, ви можете звернутися до місцевих Integrationszentren.

Важливо пам'ятати, що процес визнання може зайняти деякий час, тому рекомендується почати його якомога раніше.","['schulpflicht.txt', 'aufenthaltsgesetz.txt']","Відповідь є вичерпною, структурованою та точною."
wohn_01,Wohngeld,Що таке Wohngeld і хто може його отримати?,5,5,5,5,0.25,False,8827,"<b>Wohngeld</b> — це державна допомога в Німеччині, яка надається для покриття витрат на житло. Вона призначена для осіб з низьким доходом, щоб допомогти їм сплачувати оренду або витрати на житло.

Отримати <b>Wohngeld</b> можуть:

1. Особи, які орендують житло (квартиру, будинок).
2. Власники житла, які мають низький дохід і потребують фінансової підтримки для покриття витрат на житло.
3. Громадяни Німеччини та іноземці, які мають право на проживання в Німеччині.

Основні умови для отримання <b>Wohngeld</b> включають:

- Наявність низького доходу, який не перевищує встановлені межі.
- Витрати на житло, які відповідають певним критеріям (максимальна сума оренди залежить від регіону та кількості осіб у домогосподарстві).
- Заявник повинен бути зареєстрований за адресою, де він проживає.

Для отримання детальної інформації про конкретні суми та умови, рекомендується звернутися до місцевого управління соціальних справ або відвідати відповідний веб-сайт.","['sgb_xii.txt', 'schulpflicht.txt', 'sgb_ii.txt', 'sgb_v.txt']","Відповідь є точною, повною та зрозумілою."
wohn_02,Wohngeld,Чи можна отримувати Wohngeld та Bürgergeld одночасно?,5,5,5,5,0.4,True,4621,"Отримувати <b>Wohngeld</b> (допомогу на житло) та <b>Bürgergeld</b> (грошову допомогу для осіб, які шукають роботу) одночасно не дозволяється. Згідно з німецьким законодавством, якщо ви отримуєте <code>Bürgergeld</code>, то ви не маєте права на <code>Wohngeld</code>, оскільки <code>Bürgergeld</code> вже включає в себе витрати на житло.

Це правило базується на принципі, що особи, які отримують соціальні виплати, не можуть отримувати додаткову допомогу для покриття витрат на житло. Якщо у вас виникають питання щодо вашої конкретної ситуації, рекомендується звернутися до відповідних органів, таких як <b>Behörde für Arbeit, Soziales, Familie und Integration</b> у Гамбурзі.","['asylbewerberleistungsgesetz.txt', 'schulpflicht.txt', 'sgb_v.txt', 'sgb_xii.txt', 'sgb_ii.txt']","Відповідь чітка, точна та добре структурована."
gen_01,Загальне,Що таке Anmeldung і як його зробити в Німеччині?,5,5,5,5,0.8,False,8184,"<b>Anmeldung</b> — це процес реєстрації вашого місця проживання в Німеччині. Це обов'язкова процедура, яку потрібно виконати протягом певного часу після переїзду, зазвичай протягом 14 днів. Реєстрація необхідна для отримання різних документів і послуг, таких як податковий номер, медичне страхування та можливість відкриття банківського рахунку.

Щоб зробити <b>Anmeldung</b>, вам потрібно виконати наступні кроки:

1. **Зібрати необхідні документи**:
   - Паспорт або особистий документ (Personalausweis).
   - Доказ вашого нового місця проживання (наприклад, договір оренди або підтвердження від власника житла).
   - У деяких випадках може знадобитися підтвердження про ваше попереднє місце проживання.

2. **Відвідати місцевий орган влади**:
   - Зазвичай це <b>Bürgeramt</b> або <b>Einwohnermeldeamt</b> у вашому місті. У Мюнхені це може бути <b>Sozialreferat</b>.

3. **Заповнити анкету**:
   - На місці вам потрібно буде заповнити форму для реєстрації. Цю форму можна часто знайти на сайті органу влади, або ж отримати на місці.

4. **Подати документи**:
   - Після заповнення форми подайте її разом з усіма необхідними документами.

5. **Отримати підтвердження**:
   - Після успішної реєстрації ви отримаєте підтвердження (Anmeldebestätigung), яке може знадобитися для подальших дій, таких як отримання податкового номера.

<b>Важливо:</b> Без реєстрації ви не зможете отримати більшість документів та послуг у Німеччині, тому не зволікайте з цим процесом.","['schulpflicht.txt', 'sgb_ii.txt', 'sgb_xii.txt', 'aufenthaltsgesetz.txt']","Відповідь є точною, повною та зрозумілою."
